"ID","ACC"
1,"1"
2,"2"
3,"3"
4,"4"
5,"5"
6,"6"
7,"7"
8,"8"
9,"9"
10,"10"
11,"11"
12,"Os01g0532600"
13,"Os01g0721700"
14,"Os06g0215600"
15,"Os09g0379500"
16,"Os03g0199100"
17,"Os01g0508500"
18,"Os06g0130000"
19,"Os08g0446400"
20,"Os05g0433800"
21,"Os12g0152700"
22,"Os03g0685100"
23,"Os05g0285900"
24,"Os03g0449000"
25,"Os03g0775000"
26,"Os11g0213500"
27,"Os09g0261100"
28,"Os02g0236600"
29,"Os10g0469200"
30,"Os02g0827200"
31,"Os09g0271000"
32,"Os08g0427500"
33,"Os08g0379300"
34,"Os12g0160900"
35,"POsControl0013"
36,"Os06g0724300"
37,"Os01g0582400"
38,"Os06g0229400"
39,"Os01g0909100"
40,"Os07g0479500"
41,"Os12g0124300"
42,"Os02g0542200"
43,"Os11g0632200"
44,"Os04g0568400"
45,"Os11g0267300"
46,"Os01g0720900"
47,"Os03g0567100"
48,"Os05g0155200"
49,"Os08g0484600"
50,"Os07g0175600"
51,"Os06g0109200"
52,"Os08g0514200"
53,"Os07g0609000"
54,"Os03g0234900"
55,"Os05g0105500"
56,"Os05g0307000"
57,"Os03g0755800"
58,"Os10g0352200"
59,"Os06g0118600"
60,"Os12g0167900"
61,"Os09g0321300"
62,"Os07g0510200"
63,"Os03g0159800"
64,"Os03g0151500"
65,"Os11g0549300"
66,"Os06g0296700"
67,"Os10g0470900"
68,"Os03g0695400"
69,"Os08g0326600"
70,"Os09g0500100"
71,"Os04g0309400"
72,"Os08g0435900"
73,"Os12g0188700"
74,"Os11g0167800"
75,"75"
76,"76"
77,"77"
78,"78"
79,"79"
80,"80"
81,"81"
82,"82"
83,"83"
84,"84"
85,"85"
86,"86"
87,"87"
88,"88"
89,"89"
90,"90"
91,"91"
92,"92"
93,"93"
94,"94"
95,"95"
96,"Os12g0102700"
97,"Os10g0580500"
98,"Os12g0287200"
99,"Os07g0641300"
100,"Os07g0484500"
101,"Os04g0227500"
102,"Os06g0252300"
103,"Os09g0466400"
104,"Os05g0426300"
105,"Os07g0490400"
106,"Os07g0691800"
107,"Os01g0117500"
108,"Os05g0397800"
109,"Os03g0299900"
110,"Os07g0491600"
111,"Os09g0401300"
112,"Os02g0635800"
113,"Os04g0440100"
114,"Os03g0333100"
115,"Os06g0147200"
116,"Os02g0701600"
117,"117"
118,"Os11g0672700"
119,"Os08g0490300"
120,"Os04g0103200"
121,"Os07g0646300"
122,"Os03g0834000"
123,"Os12g0177500"
124,"Os07g0121000"
125,"Os02g0209100"
126,"Os01g0844500"
127,"Os09g0281600"
128,"Os11g0576400"
129,"Os02g0163300"
130,"Os10g0515400"
131,"Os04g0632400"
132,"Os08g0229600"
133,"Os11g0231400"
134,"Os09g0500300"
135,"135"
136,"Os01g0203000"
137,"Os07g0608300"
138,"Os04g0555300"
139,"Os06g0329900"
140,"Os01g0363500"
141,"141"
142,"Os05g0339800"
143,"Os06g0604000"
144,"Os09g0516900"
145,"Os03g0802500"
146,"Os02g0654300"
147,"Os12g0552300"
148,"Os09g0567400"
149,"Os05g0502000"
150,"Os08g0486800"
151,"Os03g0365200"
152,"Os03g0100200"
153,"Os06g0497200"
154,"Os01g0637800"
155,"Os06g0156600"
156,"Os03g0578900"
157,"Os12g0224400"
158,"Os05g0129400"
159,"Os02g0490500"
160,"160"
161,"161"
162,"162"
163,"163"
164,"164"
165,"165"
166,"166"
167,"167"
168,"168"
169,"169"
170,"170"
171,"171"
172,"172"
173,"173"
174,"174"
175,"175"
176,"176"
177,"177"
178,"178"
179,"179"
180,"180"
181,"Os02g0617700"
182,"Os05g0383200"
183,"Os12g0244100"
184,"Os08g0526300"
185,"Os09g0296500"
186,"Os12g0284000"
187,"Os01g0136800"
188,"Os01g0911300"
189,"Os10g0329700"
190,"Os01g0234800"
191,"Os03g0859300"
192,"Os03g0816800"
193,"Os07g0476900"
194,"Os02g0749800"
195,"Os01g0192300"
196,"Os09g0306400"
197,"Os06g0530200"
198,"Os04g0564300"
199,"Os01g0764000"
200,"Os04g0674300"
201,"Os10g0487900"
202,"Os10g0467600"
203,"Os02g0158800"
204,"Os12g0482700"
205,"POsControl0023"
206,"Os08g0535400"
207,"Os05g0408900"
208,"Os10g0540300"
209,"Os06g0109300"
210,"Os06g0117500"
211,"Os04g0683900"
212,"Os03g0130400"
213,"Os12g0615700"
214,"Os12g0152100"
215,"215"
216,"Os07g0273500"
